SystemCode;Sum;EDNo;EDDate;EDAuthor;Priority;TransKind;AccDocDate;AccDocNo;PayerName;PayerBIC;PayerCorrespAcc;PayeeName;PayeeBIC;PayeeCorrespAcc;Purpose
02;12;1;2023-08-17;4583001999;1;01;2010-06-08;52;УФК по Астраханской области;041280103;40116810100000010010;УРАЛЬСКИЙ ФИЛИАЛ АО "РАЙФФАЙЗЕНБАНК";046577906;30101810100000000906;Назначение платежа? Например, порядковый номер ED101 = 1
02;54;2;2023-08-17;4583001999;1;01;2012-04-19;30;ФИЛИАЛ "БАНКА ЗАРЕЧЬЕ" (АО) В Г. ОРЛЕ;045402704;30101810100000000704;ИКБР "ЯРИНТЕРБАНК" (ООО);047888728;30101810300000000728;Назначение платежа? Например, порядковый номер ED101 = 2
02;45;3;2023-08-17;4583001999;1;01;2016-05-13;99;ИКМО;278000688;40202810645250000169;БАЙКОНУРСКИЙ ФИЛИАЛ АБ "РОССИЯ";040037471;30101810000370000471;Назначение платежа? Например, порядковый номер ED101 = 3
02;15;4;2023-08-17;4583001999;1;01;1995-08-11;99;Избирательная комиссия Брянской области;215000042;40202810600000000552;УФК по Чеченской Республике;049626100;40116810096260010001;Назначение платежа? Например, порядковый номер ED101 = 4
02;22;5;2023-08-17;4583001999;1;01;2010-12-24;52;УФК по Нижегородской области;042299100;40116810000000010002;УФК по Архангельской области и Ненецкому автономному округу;041122101;40116810300000010001;Назначение платежа? Например, порядковый номер ED101 = 5
02;12;6;2023-08-17;4583001999;1;01;2010-12-31;52;УФК по Астраханской области;041236100;40116810600000010012;Избирательная комиссия Приморского края;205000024;40202810900000001062;Назначение платежа? Например, порядковый номер ED101 = 6
02;22;7;2023-08-17;4583001999;1;01;2010-04-12;99;избирательная комиссия Нижегородской области;222000300;40202810600000000119;КУЗБАССКИЙ ФИЛИАЛ АО "УГЛЕМЕТБАНК";043207707;30101810500000000707;Назначение платежа? Например, порядковый номер ED101 = 7
02;60;8;2023-08-17;4583001999;1;01;2015-03-02;30;ФМКБ "ДОН-ТЕКСБАНК" ООО В Г.НОВОШАХТИНСКЕ;046014336;30101810460140000336;ФИЛИАЛ АКБ "ФОРА-БАНК" (АО) В Г.ЯРОСЛАВЛЬ;047888710;30101810800000000710;Назначение платежа? Например, порядковый номер ED101 = 8
02;32;9;2023-08-17;4583001999;1;01;1994-07-29;20;"БСТ-БАНК" АО;043209706;30101810000000000706;НАЦИОНАЛЬНЫЙ БАНК РЕСПУБЛИКИ АБХАЗИЯ;040396055;30111810000000000055;Назначение платежа? Например, порядковый номер ED101 = 9
02;35;10;2023-08-17;4583001999;1;01;2014-06-16;30;СИМФЕРОПОЛЬСКИЙ ФИЛИАЛ АБ "РОССИЯ";043510107;30101810835100000107;ЕКАТЕРИНБУРГСКИЙ ФИЛИАЛ БАНКА "ВЯТИЧ" (ПАО);046577409;30101810665770000409;Назначение платежа? Например, порядковый номер ED101 = 10
02;90;11;2023-08-17;4583001999;1;01;2016-06-01;20;НАЦИОНАЛЬНЫЙ БАНК РЕСПУБЛИКИ ЮЖНАЯ ОСЕТИЯ;049033199;30111810990330000199;МКБ "ДОН-ТЕКСБАНК" ООО;046014718;30101810500000000718;Назначение платежа? Например, порядковый номер ED101 = 11
02;45;12;2023-08-17;4583001999;1;01;2016-02-03;90;КУ "НОТА-БАНК" (ПАО) - ГК "АСВ";044525569;30101810700000000569;УФК по Амурской области;041081100;40116810100000010004;Назначение платежа? Например, порядковый номер ED101 = 12
02;25;13;2023-08-17;4583001999;1;01;2003-10-13;30;ИРКУТСКИЙ ФИЛИАЛ БАНКА СОЮЗ (АО);042520728;30101810300000000728;УФК по Хабаровскому краю;000816041;40116810008160010022;Назначение платежа? Например, порядковый номер ED101 = 13
02;22;14;2023-08-17;4583001999;1;01;2009-04-09;30;НИЖЕГОРОДСКИЙ Ф-Л ПАО АКБ "МЕТАЛЛИНВЕСТБАНК";042202886;30101810400000000886;ФИЛИАЛ N8 ПАО КБ "ЦЕНТР-ИНВЕСТ";040349550;30101810100000000550;Назначение платежа? Например, порядковый номер ED101 = 14
02;12;15;2023-08-17;4583001999;1;01;2011-06-02;30;ФИЛИАЛ В Г.АСТРАХАНИ АО "МБ БАНК";041203712;30101810500000000712;ФИЛИАЛ АО АКБ "НОВИКОМБАНК" В Г.С-ПЕТЕРБУРГЕ;044030902;30101810400000000902;Назначение платежа? Например, порядковый номер ED101 = 15
02;29;16;2023-08-17;4583001999;1;01;2000-01-01;99;ФКУ " Войсковая часть 10199 ";229000102;40106810200000000002;Избирательная комиссия Челябинской области;275000099;40301810800000000114;Назначение платежа? Например, порядковый номер ED101 = 16
02;03;17;2023-08-17;4583001999;1;01;2004-09-30;30;КРАСНОДАРСКИЙ ФИЛИАЛ БАНКА СОЮЗ (АО);040349542;30101810600000000542;АО КБ "ВАКОБАНК";045853774;30101810200000000774;Назначение платежа? Например, порядковый номер ED101 = 17
02;18;18;2023-08-17;4583001999;1;01;2018-09-26;30;Урюпинский филиал ПАО КБ "Сельмашбанк";041806745;30101810518060000745;ФИЛИАЛ "КУРГАНСКИЙ" АО АКБ "АЛЕФ-БАНК";043735853;30101810800000000853;Назначение платежа? Например, порядковый номер ED101 = 18
02;78;19;2023-08-17;4583001999;1;01;2000-01-01;99;Избирательная комиссия Ярославской области;278000117;40202810500000310110;УФК по Ставропольскому краю;040703101;40116810600000010001;Назначение платежа? Например, порядковый номер ED101 = 19
02;67;20;2023-08-17;4583001999;1;01;2014-03-28;52;УФК по Республике Крым;046709101;40116810067090010009;УФК по г. Севастополю;046709102;40116810800090010004;Назначение платежа? Например, порядковый номер ED101 = 20
02;50;21;2023-08-17;4583001999;1;01;2010-01-21;52;УФК по Новосибирской области;045080101;40116810050800010001;УФК по Камчатскому краю;043081100;40116810830810010001;Назначение платежа? Например, порядковый номер ED101 = 21
02;35;22;2023-08-17;4583001999;1;01;2015-12-08;52;УФК по Республике Крым;043512100;40116810935120010001;УФК по Камчатскому краю;043083101;40116810830830010001;Назначение платежа? Например, порядковый номер ED101 = 22
02;63;23;2023-08-17;4583001999;1;01;1998-01-01;99;Избирательная комиссия Саратовской области;263000258;40202810822020004001;БЕЛГОРОДСКИЙ Ф-Л ПАО АКБ "МЕТАЛЛИНВЕСТБАНК";041403838;30101810014030000838;Назначение платежа? Например, порядковый номер ED101 = 23
02;60;24;2023-08-17;4583001999;1;01;2016-06-14;30;РОСТОВСКИЙ ФИЛИАЛ ЦМРБАНК (ООО);042202873;30101810860150000075;ПРИВОЛЖСКИЙ ФИЛИАЛ АО КБ "СИТИБАНК";046015075;30101810400000000873;Назначение платежа? Например, порядковый номер ED101 = 24
02;80;25;2023-08-17;4583001999;1;01;2013-08-23;30;ФИЛИАЛ "БАШКОРТОСТАН" АО КБ "СИТИБАНК";048073949;30101810280730000949;КУ ОАО КБ "МВКБ" - ГК "АСВ";044525286;30101810545250000286;Назначение платежа? Например, порядковый номер ED101 = 25
02;60;26;2023-08-17;4583001999;1;01;2007-01-22;30;ДОНСКОЙ ФИЛИАЛ АО КБ "СИТИБАНК";046015068;30101810660150000068;Координационный Комитет по вопросам ПВО;245011073;40808810245250000031;Назначение платежа? Например, порядковый номер ED101 = 26
02;35;27;2023-08-17;4583001999;1;01;2015-12-28;99;АНО "ФЗВ";245011066;40503810445250000026;ЦИК России;245011058;40106810545250000022;Назначение платежа? Например, порядковый номер ED101 = 27
02;05;28;2023-08-17;4583001999;1;01;2013-01-15;30;ПРИМОРСКИЙ ФИЛИАЛ АКБ "БЭНК ОФ ЧАЙНА" (АО);040507900;30101810405070000900;Избирательная комиссия Оренбургской области;253000417;40202810200000310075;Назначение платежа? Например, порядковый номер ED101 = 28
02;82;29;2023-08-17;4583001999;1;01;2013-02-11;52;УФК по Республике Дагестан;048270101;40116810100000010008;УФК по Новосибирской области;045081100;40116810200000010001;Назначение платежа? Например, порядковый номер ED101 = 29
02;05;30;2023-08-17;4583001999;1;01;2012-05-02;52;УФК по Приморскому краю;040582101;40116810300000010005;УФК ПО КИРОВСКОЙ ОБЛАСТИ;043380100;40116810600000010002;Назначение платежа? Например, порядковый номер ED101 = 30
02;88;31;2023-08-17;4583001999;1;01;2004-12-22;52;УФК по Республике Марий Эл;048880100;40116810088800010002;УФК по Ростовской области;046080101;40116810300000010001;Назначение платежа? Например, порядковый номер ED101 = 31
02;27;32;2023-08-17;4583001999;1;01;2014-12-30;30;Ф-Л "ЕВРОПЕЙСКИЙ" ПАО "БАНК "САНКТ-ПЕТЕРБУРГ";042748877;30101810927480000877;АМУРСКИЙ РФ АО "РОССЕЛЬХОЗБАНК";041012731;30101810800000000731;Назначение платежа? Например, порядковый номер ED101 = 32
